ID;Match;FieldAdvantage;OutcomeWL;PointsWon;Result;GoalsMade;GoalsTaken;BallPoss;Shots;ShotsOnT;ShotsPrec;PassAtt;PassSucc;PassPrec;RosterQuality;Knowledge;YellowC;RedC;FoulsC;FoulsT;TacklesW;TacklesAtt;TacklesWRatio;AirDuelW;DribW;DribAtt;DribWRatio
PLCa11;5/11/2016 Chelsea-Everton;H;W;3;5 a 0;5;0;60,10%;21;9;42,86%;616;685;89,93%;360500000;117,6428571;0;0;5;16;26;30;86,67%;31%;17;27;62,96%
PLCa12;20/11/2016 Middlesbrough-Chelsea;A;W;3;0 a 1;1;0;57,60%;13;3;23,08%;527;620;85,00%;357000000;101;3;0;10;13;9;24;37,50%;48%;14;20;70,00%
PLCa13;26/11/2016 Chelsea-Tottenham;H;W;3;2 a 1;2;1;45,90%;9;5;55,56%;296;386;76,68%;385500000;107,5714286;2;0;13;16;23;41;56,10%;36%;7;14;50,00%
PLCa14;3/12/2016 Manchester City-Chelsea;A;W;3;1 a 3;3;1;39,40%;10;4;40,00%;272;366;74,32%;348000000;88,71428571;3;0;9;14;18;27;66,67%;32%;16;20;80,00%
PLCa15;11/12/2016 Chelsea-West Browich Albion;H;W;3;1 a 0;1;0;66,90%;12;2;16,67%;488;577;84,58%;395500000;119,0714286;2;0;6;10;14;19;73,68%;49%;16;20;80,00%
PLCa16;14/12/2016 Sunderland-Chelsea;A;W;3;0 a 1;1;0;66,10%;19;6;31,58%;536;619;86,59%;334000000;109,5;2;0;10;15;16;23;69,57%;47%;14;21;66,67%
PLCa17;17/12/2016 Crystal Palace-Chelsea;A;W;3;0 a 1;1;0;46,50%;13;6;46,15%;322;418;77,03%;387500000;117;3;0;15;12;23;28;82,14%;45%;13;15;86,67%
PLCa18;26/12/2016 Chelsea-Bournemouth;H;W;3;3 a 0;3;0;44,40%;14;4;28,57%;400;474;84,39%;355000000;115,4285714;1;0;13;14;12;21;57,14%;41%;27;32;84,38%
PLCa19;31/12/2016 Chelsea-Stoke City;H;W;3;4 a 2;4;2;59,60%;18;7;38,89%;401;473;84,78%;376000000;117,2857143;3;0;12;10;12;16;75,00%;33%;11;18;61,11%
PLCa20;4/01/2017 Tottenham Hotspur-Chelsea;A;L;0;2 a 0;0;2;54,50%;11;2;18,18%;429;526;81,56%;399500000;101,4285714;2;0;8;9;19;30;63,33%;44%;11;16;68,75%
PLCa21;14/01/2017 Leicester-Chelsea;A;W;3;0 a 3;3;0;64,80%;8;3;37,50%;543;640;84,84%;359500000;98,71428571;0;0;9;8;6;12;50,00%;58%;13;14;92,86%
PLCa22;22/01/2017 Chelsea-Hull City;H;W;3;2 a 0;2;0;52,80%;9;5;55,56%;469;559;83,90%;399500000;101,4285714;1;0;12;10;10;19;52,63%;25%;11;19;57,90%
PLCa23;31/01/2017 Liverpool-Chelsea;A;D;1;1 a 1;1;1;37,60%;8;2;25,00%;267;386;69,17%;399500000;101,4285714;1;0;8;13;23;27;85,19%;56%;10;12;83,33%
PLCa24;4/02/2017 Chelsea-Arsenal;H;W;3;3 a 1;3;1;41,70%;13;6;46,15%;326;410;79,51%;401500000;104,1428571;1;0;14;8;19;34;55,88%;61%;17;21;80,95%
PLCa25;10/02/2017 Burnley-Chelsea;A;D;1;1 a 1;1;1;71,70%;13;2;15,39%;615;729;84,36%;399500000;101,4285714;2;0;11;12;14;18;77,78%;47%;22;25;88,00%
PLCa26;25/02/2017 Chelsea-Swansea;H;W;3;3 a 1;3;1;65,60%;16;5;31,25%;636;734;86,65%;401500000;104,1428571;1;0;11;14;11;18;61,11%;54%;19;25;76,00%
PLCa27;6/03/2017 West Ham United-Chelsea;A;W;3;1 a 2;2;1;48,20%;9;4;44,44%;445;530;83,96%;401500000;104,1428571;1;0;8;8;15;22;68,18%;49%;8;14;57,14%
PLCa28;18/03/2017 Stole City-Chelsea;A;W;3;1 a 2;2;1;63,80%;20;7;35,00%;439;522;84,10%;341500000;95,42857143;2;0;11;16;23;30;76,67%;55%;11;16;68,75%
PLCa29;1/04/2017 Chelsea-Crystal Palace;H;L;0;1 a 2;1;2;72,90%;24;11;45,83%;528;608;86,84%;397000000;91,42857143;3;0;12;14;20;33;60,61%;42%;9;14;64,29%
PLCa30;5/04/2017 Chelsea-Manchester City;H;W;3;2 a 1;2;1;39,30%;10;4;40,00%;307;399;76,94%;399000000;94,14285714;1;0;10;14;17;30;56,67%;58%;8;11;72,73%
